NOM_MUN|COD_MUN|MAP_1990|MUSE_1990|MAP_1991|MUSE_1991|MAP_1992|MUSE_1992|MAP_1993|MUSE_1993|MAP_1994|MUSE_1994|MAP_1995|MUSE_1995|MAP_1996|MUSE_1996|MAP_1997|MUSE_1997|MAP_1998|MUSE_1998|MAP_1999|MUSE_1999|MAP_2000|MUSE_2000|MAP_2001|MUSE_2001|MAP_2002|MUSE_2002|MAP_2003|MUSE_2003|MAP_2004|MUSE_2004|MAP_2005|MUSE_2005|MAP_2006|MUSE_2006|MAP_2007|MUSE_2007
ANGOSTURA|05038|||||||||||||||||||3|1|||||1||10||4||1|||||
ANOLAIMA|25040||||||||||||||||||||||||||||||||||||
ANORÍ|05040|||||||||||||||11||||1||||2||||1||7||21||7||5|
ANSERMA|17042||||||||||||||||||||||||2|||||||||1|||
ANSERMANUEVO|76041||||||||||||||||||||||||||||||||||||
ANZA|05044|7|||||||||||||||||||||||||||||||||||
ANZOÁTEGUI|73043|||1|||||||||||||||||||||||2||||||||||
APARTADÓ|05045|||||||||||||||4||2||||||1||||4||3||1|||||
APÍA|66045||||||||||||||||||||||||||||||||||||
APULO|25599||||||||||||||||||||||||||||||||||||
AQUITANIA|15047|||||3|||||||||||||||||||||||||||||||
ARACATACA|47053|||||||||||||||||||||||||||1|||||||||
ARANZAZU|17050||||||||||||||||||||||||||||||||||||
ARATOCA|68051||||||||||||||||||||||||||||||||||||
ARAUCA|81001||||||||||||||||||||||3|2||6|1|1||2||2|||||
ARAUQUITA|81065|||8||||||||||||||||||3||1|1|2||4||5||9||16|5|3|
ARBELÁEZ|25053||||||||||||||||||||||||||||||||||||
ARBOLEDA|52051||||||||||||||||||||||||||||||||||||
ARBOLEDAS|54051|||||||||||||||||||||2||||2|||||||||||
ARBOLETES|05051||||||||||||||||||||||||||||||||||||
ARCABUCO|15051||||||||||||||||||||||||||||||||||||
ARENAL|13042|||||||||||||||||||||2||1||||||2||||||1|
ARGELIA|05055|||||||||||||||||||||||||12||3||28|1|18||3||1|
ARGELIA|19050|||||||||||||1||||||||||||||||||||1||13|
ARGELIA|76054||||||||||||||||||||||||||||||||||||
ARIGUANÍ|47058||||||||||||||||||||||||||||||||||||
ARJONA|13052||||||||||||||||||||||||||||||||||||
ARMENIA|05059||||||||||||||||||||||||||||||||||||
ARMENIA|63001||||||||||||||||||||||||||||||||||||
ARMERO|73055||||||||||||||||||||||||||||||||||||
ARROYOHONDO|13062||||||||||||||||||||||||||||||||||||
ASTREA|20032||||||||||||||||||||||||||||||||||||
ATACO|73067|||||||||||||||||||||||||||||||||3|||
ATRATO|27050||||||||||||||||||||||||||||||||||||
AYAPEL|23068||||||||||||||||||||||||||||||||||||
BAGADÓ|27073|||||||||||||||||||||||||||||||1|||||
BAHÍA SOLANO|27075||||||||||||||||||||||||||||||||||||
BAJO BAUDÓ|27077||||||||||||||||||||||||||||||||||||
BALBOA|19075|||||||||||||||||||||||||1||1||||||2|||
BALBOA|66075||||||||||||||||||||||||||||||||||||
BARANOA|08078||||||||||||||||||||||||||||||||||||
BARAYA|41078|||||||||||||||||||||||||||||||1||4||1|
BARBACOAS|52079|||||||||||||||||||||||||||||||16|3|2||4|
BARBOSA|05079||||||||||||||||||||||||||||||||||||
BARBOSA|68077||||||||||||||||||||||||||||||||||||
BARICHARA|68079||||||||||||||||||||||||||||||||||||
BARRANCA DE UPÍA|50110||||||||||||||||||||||||||||||||||||
BARRANCABERMEJA|68081|||||29||12||7||6||||2|||2|||||1|||||||||||||
BARRANCAS|44078||||||||||||||||||||||||||||||||||||
BARRANCO DE LOBA|13074|||||||||||||||||||||||||3|||||||||||
BARRANCO MINAS|94343|||||||||||||||||||||||||||||1|||||||
BARRANQUILLA|08001||||||2||||||||||||||||||||4||||||||||
BECERRIL|20045|||||||||||||||||||||||||||||2||||2|||
BELALCÁZAR|17088|||||||||||||||||||||||||||2|||||||||
BELÉN|15087||||||||||||||||||||||||||||||||||||
BELÉN|52083|||||||||||||||||||||||||||||||3|||||
BELÉN DE BAJIRÁ|27086||||||||||||||||||||||||||||||||||||
BELÉN DE LOS ANDAQUIES|18094|||||||||||||||||||||||||||2||||1|||||
BELÉN DE UMBRÍA|66088|||||||||||||||||||||||||3|||||||||||
BELLO|05088||||||||||||16||||||||||||||||||||||||
BELMIRA|05086||||||||||||||||||||||||||||||||||||
BELTRÁN|25086|||||||||||1|||||||||||||||||||||||||
BERBEO|15090||||||||||||||||||||||||||||||||||||
BETANIA|05091||||||||||||||||||||||||||||||||||||
BETÉITIVA|15092||||||||||||||||||||||||||||||||||||
BETULIA|05093||||||||||||||||||||||||||||||||||||
BETULIA|68092||||||||||||||||||||||||||||||||||||
BITUIMA|25095||||||||||||||||||||||||||||||||||||
BOAVITA|15097||||||||||||||||||||||||||||||||||||
BOCHALEMA|54099||||||||||||||||||||||||||||||||||||
BOGOTÁ|11001||||1|||||||||1|||4||||||||||3|1||||4||1|||1
BOJACÁ|25099||||||||||||||||||||||||||||||||||||
BOJAYA|27099|||||||||||||||||||||||||||||||3|||||
BOLÍVAR|19100|||||||||||||||||||||||1||5||||2||2|||||
BOLÍVAR|68101||||||||||||||||||||||||||||||||||||
BOLÍVAR|76100||||||||||||||||||||||||||||||||||||
BOSCONIA|20060|||||||||||||||||||||||||5|||||||||||
BOYACÁ|15104||||||||||||||||||||||||||||||||||||
BRICEÑO|05107|||||||||||||||||||||||||||1|||||||||
BRICEÑO|15106||||||||||||||||||||||||||||||||||||
BUCARAMANGA|68001|||2||||1|||||||||1||1||3||1|1||||1|||||||||
BUCARASICA|54109|||||||||||||||||||||||||||||1||6|||||
BUENAVENTURA|76109|||||||||||||||||||||||||||||||||17|2||
BUENAVISTA|15109||||||||||||||||||||||||||||||||||||
BUENAVISTA|23079||||||||||||||||||||||||||||||||||||
BUENAVISTA|63111||||||||||||||||||||||||||||||||||||
BUENAVISTA|70110||||||||||||||||||||||||||||||||||||
BUENOS AIRES|19110||||||||||||||||||||||||||||||||||||
BUESACO|52110||||||||||||||||||||||||||||||||||||
BUGALAGRANDE|76113||||||||||||||||||||1||||||||||||||||
BURITICÁ|05113|||||||||||||||||||||||||||||3|||||||
BUSBANZÁ|15114||||||||||||||||||||||||||||||||||||
CABRERA|25120|||||||||||||||||||||6||||1||||1|||||||
CABRERA|68121||||||||||||||||||||||||||||||||||||
CABUYARO|50124||||||||||||||||||||||||||||||||||||
CACAHUAL|94886||||||||||||||||||||||||||||||||||||
CÁCERES|05120|||||||||||||1||||||||||||||||||1|||||
CACHIPAY|25123||||||||||||||||||||||||||||||||||||
CACHIRÁ|54128|||||||||||||||||||||||3||1|||||||||||
CÁCOTA|54125||||||||||||||||||||||||||||||||||||
CAICEDO|05125|||||||||||||||||||||||||||4|||||||||
CAICEDONIA|76122||||||||||||||||||||||||||||||||||||
CAIMITO|70124||||||||||||||||||||||||||||||||||||
CAJAMARCA|73124|||||1||||||||||||||||||||||||4||12|||||
CAJIBÍO|19130|||||||||||||||||||||||3|4|1|||||||||||
CAJICÁ|25126||||||||||||||||||||||||||||||||||||
CALAMAR|13140||||||||||||||||||||||||||||||||||||
CALAMAR|95015|||||||||||||||||||||||||||||||3||||1|
CALARCA|63130||||||||||||||||||||||||||||||||||||
CALDAS|05129||||||||||||||||||||||||||||||||||||
CALDAS|15131||||||||||||||||||||||||||||||||||||
CALDONO|19137|||||||||||||||||1||||||||||1||4|||||||
CALI|76001|||||||||||||||||||||||||11||||||||||2|
CALIFORNIA|68132|||||||||||||||||||||||||4||1|||||||||
CALIMA|76126||||||||||||||||||||||||||||||||||||
CALOTO|19142|||||||||||||||||||||||||||||||3||1|||
CAMPAMENTO|05134|||||||||||||||||||||||2||2|2|3||1||1||5||6|
CAMPO DE LA CRUZ|08137||||||||||||||||||||||||||||||||||||
CAMPOALEGRE|41132||||||||||||||||||||||||||||||||||||
CAMPOHERMOSO|15135||||||||||||||||||||||||||||||||||||
CANALETE|23090||||||||||||||||||||||||||||||||||||
CAÑASGORDAS|05138||||||||||||4||||||||||||||||||||||4||
CANDELARIA|08141||||||||||||||||||||||||||||||||||||
CANDELARIA|76130||||||||||||||||||||||||||||||||||||
CANTAGALLO|13160|||||||||||||||||||||1||3||||1||||4||8||6|
CAPARRAPÍ|25148|||||||||||||||||||||||||||||||||5|||
CAPITANEJO|68147||||||||||||||||||||||||||||||||||||
CAQUEZA|25151|||||9|||||||||||||||||||||||||||||||
CARACOLÍ|05142|||||||||||||||||||||||1||||||||1|||||
CARAMANTA|05145|||||||||||||||||||||||||||1|||||||||
CARCASÍ|68152||||||||||||||||||||||||||||||||||||
CAREPA|05147|||||||2||||||||||1||||||||||1||1|||||||
CARMEN DE APICALÁ|73148||||||||||||||||||||||||||||||||||||
CARMEN DE CARUPA|25154||||||||||||||||||||||||||||||||||||
CARMEN DEL DARIEN|27150||||||||||||||||||||||||||||||||||||
CAROLINA|05150||||||||||||||||||||||||||||||||||||
CARTAGENA|13001|||||||||||||||||||||||||1|2|6|||||||||
CARTAGENA DEL CHAIRÁ|18150|||||||||||||10||2||||||1||||||||21||8||1|||
CARTAGO|76147||||||||||||||||||||||||||||||||||||
CARURU|97161|||||||||||||||||||||||||||||1||3||1|||
CASABIANCA|73152||||||||||||||||||||||||||||||||||||
CASTILLA LA NUEVA|50150||||||||||||||||||||||||||||||||||||
CAUCASIA|05154|||||||||||||||||||||||||1|||||||||||
CEPITÁ|68160||||||||||||||||||||||||||||||||||||
CERETÉ|23162||||||||||||||||||||||||||||||||||||
CERINZA|15162||||||||||||||||||||||||||||||||||||
CERRITO|68162||||||||||||||||||||||||||||||||||||
CERRO SAN ANTONIO|47161||||||||||||||||||||||||||||||||||||
CÉRTEGUI|27160||||||||||||||||||||||||||||||||||||
CHACHAGÜÍ|52240||||||||||||||||||||||||||||||||||||
CHAGUANÍ|25168|||||||||||||||||||||||||4||2|||||||||
CHALÁN|70230|||||||||||||||||||||||||2|||||||||||
CHAMEZA|85015|||||||||||||||||||||||||2|1|5|||||||||
CHAPARRAL|73168|||||||||||10|||||||||||||||1|||3||||30||13|
CHARALÁ|68167||||||||||||||||||||||||||||||||||||
CHARTA|68169|||||||||||||||||||||||||4||1|||||||||
CHÍA|25175||||||||||||||||||||||||||||||||||||
CHIBOLO|47170||||||||||||||||||||||||||||||||||||
CHIGORODÓ|05172||||||||||||||3|||||||||||1||||||||||2|
CHIMÁ|23168||||||||||||||||||||||||||||||||||||
CHIMA|68176||||||||||||||||||||||||||||||||||||
CHIMICHAGUA|20175||||||||||||||||||||||||||||||||||||
CHINÁCOTA|54172||||||||||||||||||||||||||||||||||||
CHINAVITA|15172||||||||||||||||||||||||||||||||||||
CHINCHINÁ|17174||||||||||||||||||||||||||||||||||||
CHINÚ|23182||||||||||||||||||||||||||||||||||||
CHIPAQUE|25178||||||||||||||||||||||||||||||||||||
CHIPATÁ|68179||||||||||||||||||||||||||||||||||||
CHIQUINQUIRÁ|15176||||||||||||||||||||||||||||||||||||
CHÍQUIZA|15232||||||||||||||||||||||||||||||||||||
CHIRIGUANÁ|20178||||||7||||||||||||||||||||||||||||||
CHISCAS|15180|||||||||2|||||||||||||||||||||||||||
CHITA|15183||||||||||||||||||||||||||||1|||||||2|
CHITAGÁ|54174||||||||||||||||||||||||||||||||||||
CHITARAQUE|15185||||||||||||||||||||||||||||||||||||
CHIVATÁ|15187||||||||||||||||||||||||||||||||||||
CHIVOR|15236||||||||||||||||||||||||||||||||||||
CHOACHÍ|25181||||||||||||||||||||||||||||||||||||
CHOCONTÁ|25183|||||||||||||||||||||||||||1|||||||||
CICUCO|13188||||||||||||||||||||||||||||||||||||
CIÉNAGA|47189|||||||||||||3|||9|||||1||2||4||5|||||||||
CIÉNAGA DE ORO|23189||||||||||||||||||||||||||||||||||||
CIÉNEGA|15189||||||||||||||||||||||||||||||||||||
CIMITARRA|68190|||||||||||||||1||||||1|||||||||||||||
CIRCASIA|63190||||||||||||||||||||||||||||||||||||
CISNEROS|05190||||||||||||||3||||||||||||||||||||||
CIUDAD BOLÍVAR|05101||||||||||||||||||||||||||||||||||||
CLEMENCIA|13222||||||||||||||||||||||||||||||||||||
COCORNÁ|05197|||||||||||3||||||||1||4||7||18||13||17||7||2|||
COELLO|73200||||||||||||||||||||||||||||||||||||
COGUA|25200||||||||||||||||||||||||||||||||||||
COLOMBIA|41206|||||||||||||||||||||||||||4||2|||||||
COLÓN|52203||||||||||||||||||||||||||2||||||||||
COLÓN|86219||||||||||||||||||||||||||||||||||||
COLOSO|70204|||||||||||||||||||||||||9|||||||||||
CÓMBITA|15204||||||||||||||||||||||||||||||||||||
CONCEPCIÓN|05206|||||||||||||||||||||||1|||||||||||||
CONCEPCIÓN|68207||||||||||||||||||||||||||||||||||||
CONCORDIA|05209||||||||||||||||||||||||||||||||||||
CONCORDIA|47205||||||||||||||||||||||||||||||||||||
CONDOTO|27205|||||||||||||||||||||||||||||||1|||||
CONFINES|68209||||||||||||||||||||||||||||||||||||
CONSACA|52207||||||||||||||||||||||||||||||||||||
CONTADERO|52210||||||||||||||||||||||||||||||||||||
CONTRATACIÓN|68211||||||||||||||||||||||||||||||||||||
CONVENCIÓN|54206|||||||||||||3||||||||||||15||2||||1||14|||
COPACABANA|05212||||||||||||||||||||||||||||||||||||
COPER|15212||||||||||||||||||||||||||||||||||||
CÓRDOBA|13212|||||||||||||||||||||||||||||1|||||||
CÓRDOBA|52215||||||||||||||||||||||||||||||||||||
CÓRDOBA|63212|||||||||||||||||||||||||||3|||||||||
CORINTO|19212||||||||||||||||||||||||||||||||||||
COROMORO|68217||||||||||||||||||||||||||||||||||||
COROZAL|70215||||||||||||||||||||||||||||||||||||
CORRALES|15215||||||||||||||||||||||||||||||||||||
COTA|25214||||||||||||||||||||||||||||||||||||
COTORRA|23300||||||||||||||||||||||||||||||||||||
COVARACHÍA|15218||||||||||||||||||||||||||||||||||||
COVEÑAS|70221||||||||||||||||||||||||||||||||||||
COYAIMA|73217|||||||||||||||||||||||||||||||||1|||
CRAVO NORTE|81220|||||||||||||||||||||||||||6|||||||||
CUASPUD|52224||||||||||||||||||||||||||||||||||||
CUBARÁ|15223||||||||||||||||||||||||||||||||||||
CUBARRAL|50223|||||||||||||||||||||||||||||||9|||||
CUCAITA|15224||||||||||||||||||||||||||||||||||||
CUCUNUBÁ|25224||||||||||||||||||||||||||||||||||||
CÚCUTA|54001||||||||||||||||||||||3||||||||||||1||
CUCUTILLA|54223||||||||||||||||||||||||||||||||||||
CUÍTIVA|15226||||||||||||||||||||||||||||||||||||
CUMARAL|50226||||||||||||||||||||||||||||||||||||
CUMARIBO|99773||||||||||||||||||||||||||||4||||||||
CUMBAL|52227||||||||||||||||||||||||||2|1||||||1|||
CUMBITARA|52233|||||||||||||||||||||||||||||||2||3||1|
CUNDAY|73226||||||||||||||||||||||||||||||||||||
CURILLO|18205|||||||||||||||||||||||||||2||||1|||||
CURITÍ|68229||||||||||||||||||||||||7||||||||||||
CURUMANÍ|20228|||||4||||||||||1||||||||||||||2||3|||||
DABEIBA|05234|||||1||||||||||4||||||||||1||5||2|1|9||1|10||
DAGUA|76233|||||||||||||||||||||||||||2|||||||||
DIBULLA|44090|||||||||||||||||||||||||||||||2||6|||
DISTRACCIÓN|44098||||||||||||||||||||||||||||||||||||
DOLORES|73236||||||||||||||||||||||||||2|||4||||7|||
DON MATÍAS|05237||||||||||||||||||||||||||||||||||||
DOSQUEBRADAS|66170||||||||||||||||||||||||||||||||||||
DUITAMA|15238|||1|2||||||||||||||||||||||||||||||||
DURANIA|54239||||||||||||||||||||||||||||||1||||||
EBÉJICO|05240||||||||||||||||||||||||||||||||||||
EL ÁGUILA|76243|||||||||||||||||||||||||||||||||1|||
EL BAGRE|05250|||2||3|1|||1||||||||||1||||16||3||||1|||||||
EL BANCO|47245||||||||||||||||||||||||||||||||||||
EL CAIRO|76246||||||||||||||||||||||||||||||||||||
EL CALVARIO|50245|||||||||||||2||||||||||||||||1|||||||
EL CANTÓN DEL SAN PABLO|27135||||||||||||||||||||||||||||||||||||
EL CARMEN|54245|||||||||||||||||||2||||||1|||||||||||
EL CARMEN DE ATRATO|27245|||||||||||||||||||||||5||1||6||||5|||||
EL CARMEN DE BOLÍVAR|13244|||||||||||||2||||2||||||||7||18|2|23||38||16||2|
EL CARMEN DE CHUCURÍ|68235|1||5||23||||1||||||1||||||1|||||||||||||||
EL CARMEN DE VIBORAL|05148|||||||||||||||||||||1||||||2||2|||||||
EL CASTILLO|50251|||||||||||||3||||||||||||||11||4||3|||||
EL CERRITO|76248||||||||||||||||||||||||||||||||||||
EL CHARCO|52250|||||||||||||||||||||||||||1|||||||||
EL COCUY|15244||||||||||||||||||||||4||1||||||||||||
EL COLEGIO|25245||||||||||||||||||||||||||||||||||||
EL COPEY|20238||||||||||||||||||4|||||||1||1|||||||||
EL DONCELLO|18247|||||||||||||||||||||||||5||||1||||3|||
EL DORADO|50270|||||||||||||||||||||2||||||3||9||1|||||
EL DOVIO|76250||||||||||||||||||||||||||||||||||||
EL ENCANTO|91263||||||||||||||||||||||||||||||||||||
EL ESPINO|15248||||||||||||||||||||||||||||||||||||
EL GUACAMAYO|68245||||||||||||||||||||||||||||||||||||
EL GUAMO|13248|||||||||||||||||||||||||||||||||3|||
EL LITORAL DEL SAN JUAN|27250||||||||||||||||||||||||||||||||||||
EL MOLINO|44110||||||||||||||||||||||||||||||||||||
EL PASO|20250||||||||||||||||||||||||||||||||||||
EL PAUJIL|18256|||||||||||||||||||||||||2||11||13|||||||
EL PEÑOL|52254||||||||||||||||||||||||||||||||||||
EL PEÑÓN|13268||||||||||||||||||||||||||||||||||||
EL PEÑÓN|25258|||||||||||||||||||||||||||5|||||||||
EL PEÑÓN|68250|||||||||||||||||||||||||1||1|||||||||
EL PIÑON|47258||||||||||||||||||||||||||||||||||||
EL PLAYÓN|68255|||||4||2||||||||||||||||||3||1|1||||||||
EL RETÉN|47268||||||||||||||||||||||||||||||||||||
EL RETORNO|95025|||||||||||||8||||||||||||||||2||||2|||
EL ROBLE|70233||||||||||||||||||||||||||||||||||||
EL ROSAL|25260||||||||||||||||||||||||||||||||||||
EL ROSARIO|52256||||||||||||||||||||||||||||||||||||
EL SANTUARIO|05697|||||||||||||||||||||1|2|1||||3|||||||||
EL TABLÓN DE GÓMEZ|52258||||||||||||||||||||||||||||||||||||
EL TAMBO|19256|||||||||||||||||||||||11|1|||3||9||28||3|||
EL TAMBO|52260||||||||||||||||||||||||||||||||||||
EL TARRA|54250|||||||||||||||||||||||1||5||3||2||20||9||2|
EL ZULIA|54261|||||||||||||||||||||||||||1|||||||||
ELÍAS|41244||||||||||||||||||||||||||||||||||||
ENCINO|68264||||||||||||||||||||||||||||||||||||
ENCISO|68266||||||||||||||||||||||||||||||||||||
ENTRERRIOS|05264||||||||||||||||||||||||||||||||||||
ENVIGADO|05266||||||||||||||||||||||||||||||||||||
ESPINAL|73268||||||||||||||||||||||||||||||||||||
FACATATIVÁ|25269||||||||||||||||||||||||||||||||||||
FALAN|73270||||||||||||||||||||||||||||||||||||
FILADELFIA|17272|||||||||||||||||||||||||||||1|||||||
FILANDIA|63272||||||||||||||||||||||||||||||||||||
FIRAVITOBA|15272||||||||||||||||||||||||||||||||||||
FLANDES|73275||||||||||||||||||||||||||||||||||||
FLORENCIA|18001|||2||||||3|||4|7||||||||2||||8||8||1||4|1|8|3|6|
FLORENCIA|19290|||||||||||||||||||||||||||1|||||||||
FLORESTA|15276||||||||||||||||||||||||||||||||||||
FLORIÁN|68271||||||||||||||||||||||||||||||||||||
FLORIDA|76275|||||||||||||||||||||||||||||6||4||5|2|11|
FLORIDABLANCA|68276||||||||||||||||||||||||||||||||||||
FOMEQUE|25279|||||||||||||||||||||||||2|||||||||||
FONSECA|44279||||||||||||||||||||||||||||||||||||
FORTUL|81300|||||||||||||||||||||1||||||1||2||5||6|||
FOSCA|25281||||||||||||||||||||||||||||||||||||
FRANCISCO PIZARRO|52520||||||||||||||||||||||||||||||||||||
FREDONIA|05282||||||||||||||||||||||||||||||||||||
FRESNO|73283||||||||||||||||||||||||||||||||||||
FRONTINO|05284|||||||||||||||||||||||||||5||||||||1|
FUENTE DE ORO|50287|||||||||||||||||||||||||||||1|||||||
FUNDACIÓN|47288|||||||||||||||||||||||||1|||||||||||
FUNES|52287||||||||||||||||||||||||||||||||||||
FUNZA|25286||||||||||||||||||||||||||||||||||||
FÚQUENE|25288||||||||||||||||||||||||||||||||||||
FUSAGASUGÁ|25290||||||||||||||||||||||||||||||||||||
GACHALA|25293|||||||||||||||||||||||||2|||||||||||
GACHANCIPÁ|25295||||||||||||||||||||||||||||||||||||
GACHANTIVÁ|15293||||||||||||||||||||||||||||||||||||
GACHETÁ|25297|||||||||||||||||||||||||||3|||||||||
GALÁN|68296|||||||||||||||1||||||||||||1|||||||||
GALAPA|08296||||||||||||||||||||||||||||||||||||
GALERAS|70235||||||||||||||||||||||||||||||||||||
GAMA|25299|||||||||||||||||1|||||||||||||||||||
GAMARRA|20295||||||||||||||||||||||||||||||||||||
GAMBITA|68298||||||||||||||||||||||||||||||||||||
GAMEZA|15296||||||||||||||||||||||||||||||||||||
GARAGOA|15299|||||||||||||||||||||||||||4|||||||||
GARZÓN|41298||||||||||||||||||||||||||||||||||||
GÉNOVA|63302|||||||||||||||||||||||||||5|||||||||
GIGANTE|41306|||||||||||||||||||||||||||||||2|||||
GINEBRA|76306||||||||||||||||||||||||||||||||||||
GIRALDO|05306|||||||||||||||||||||||||||1|||||||||
GIRARDOT|25307||||||||||||||||||||||||||||||||||||
GIRARDOTA|05308||||||||||||||||||||||||||||||||||||
GIRÓN|68307|||||||||||||||||||||||||||1|||||||||
GÓMEZ PLATA|05310||||||||||||||||||||||||||||||||2||||
GONZÁLEZ|20310||||||||||||||||||||||||||||||||||||
GRAMALOTE|54313||||||||||||||||||||||||||||||||||||
GRANADA|05313|||||||||||||||||||1|1|2||2||4|1|20||12||13||3|||
GRANADA|25312||||||||||||||||||||||||||||||||||||
GRANADA|50313|||||||||||||||||1||||||||||||1||1|||||
GUACA|68318||||||||||||||||||||||||||||||||||||
GUACAMAYAS|15317||||||||||||||||||||||||||||||||||||
GUACARÍ|76318||||||||||||||||||||||||||||||||||||
GUACHETÁ|25317||||||||||||||||||||||||||||||||||||
GUACHUCAL|52317||||||||||||||||||||||||||||||||||||
GUADALAJARA DE BUGA|76111||||||||||||||||||2|||||||||||2||||4||11|
GUADALUPE|05315|||||||||||||||||||||||||1|||||||||||
GUADALUPE|41319||||||||||||||||||||||||||||||||||||
GUADALUPE|68320||||||||||||||||||||||||||||1||||||||
GUADUAS|25320|||||||||||||||||||||||||8|||||||||||
GUAITARILLA|52320||||||||||||||||||||||||||||||||||||
GUALMATÁN|52323||||||||||||||||||||||||||||||||||||
GUAMAL|47318||||||||||||||||||||||||||||||||||||
GUAMAL|50318|||||||||||||||||||||||||2|||||||||||
GUAMO|73319||||||||||||||||||||||||||||||||||||
GUAPI|19318||||||||||||||||||||||||||||||||||||
GUAPOTÁ|68322||||||||||||||||||||||||||||||||||||
GUARANDA|70265|||||||1|||||||||||||||||||||||||||||
GUARNE|05318||||||||||||||||||||||||||||||||||||
GUASCA|25322|||||||||||||||||||||||||2|||||||||||
GUATAPE|05321|||||||||||||||||||||||1||2||4|||||||||
GUATAQUÍ|25324||||||||||||||||||||||||||||||||||||
GUATAVITA|25326||||||||||||||||||||||||||||||||||||
GUATEQUE|15322||||||||||||||||||||||||||||||||||||
GUÁTICA|66318||||||||||||||||||4||||||||||||||||||
GUAVATÁ|68324||||||||||||||||||||||||||||||||||||
GUAYABAL DE SIQUIMA|25328|||||||||||||||||||||||||1||2|||||||||
GUAYABETAL|25335|||||||||||||||1||||||||||2|||||||||||
GUAYATÁ|15325||||||||||||||||||||||||||||||||||||
GUTIÉRREZ|25339|||||||||||||||||||||||||||1|||||1||||
GÜEPSA|68327||||||||||||||||||||||||||||||||||||
GÜICÁN|15332||||||||||||||||||||||||||||||||||||
HACARÍ|54344|||||||||||||||||||||||1||||1||5||26||24|||
HATILLO DE LOBA|13300||||||||||||||||||||||||||||||||||||
HATO|68344|||||||||||||||||||||||||||1|||||||||
HATO COROZAL|85125|||||||||||||||||||||||||||||||||||2|
HATONUEVO|44378||||||||||||||||||||||||||||||||||||
HELICONIA|05347||||||||||||||||||||||||||||||||||||
HERRÁN|54347||||||||||||||||||||||||||||||||||||
HERVEO|73347|||||||||||||||||||||||||||||||||1|||
HISPANIA|05353||||||||||||||||||||||||||||||||||||
HOBO|41349||||||||||||||||||||||||||||||||||||
HONDA|73349||||||||||||||||||||||||||||||||||||
IBAGUÉ|73001|||||||2||||||||||||||||||||||1||2|||||
